label,time,value
Burn,2025-04-21 00:00:00+00:00,20000000.0
Mint,2025-04-21 00:00:00+00:00,64542170.379999995
Burn,2025-04-28 00:00:00+00:00,22047141.23
Mint,2025-04-28 00:00:00+00:00,37258935.21
Burn,2025-05-05 00:00:00+00:00,28837233.25
Mint,2025-05-05 00:00:00+00:00,66445613.98
Burn,2025-05-12 00:00:00+00:00,35605683.266146
Mint,2025-05-12 00:00:00+00:00,21178323.0
Burn,2025-05-19 00:00:00+00:00,464425.0
Mint,2025-05-19 00:00:00+00:00,31475526.340000004
Burn,2025-05-26 00:00:00+00:00,8006804.1
Mint,2025-05-26 00:00:00+00:00,4174925.37
Burn,2025-06-02 00:00:00+00:00,10323585.24
Mint,2025-06-02 00:00:00+00:00,441750.75999999995
Burn,2025-06-09 00:00:00+00:00,22501250.419999998
Mint,2025-06-09 00:00:00+00:00,4238410.54
Burn,2025-06-16 00:00:00+00:00,15511381.46
Mint,2025-06-16 00:00:00+00:00,14073859.27
Burn,2025-06-23 00:00:00+00:00,22869276.83
Mint,2025-06-23 00:00:00+00:00,1618068.9400000002
Burn,2025-06-30 00:00:00+00:00,45796375.66
Mint,2025-06-30 00:00:00+00:00,5960283.43
Burn,2025-07-07 00:00:00+00:00,100.0
Mint,2025-07-07 00:00:00+00:00,319174.32000000007
Burn,2025-07-14 00:00:00+00:00,77963966.06
Mint,2025-07-14 00:00:00+00:00,205475825.57999998
Burn,2025-07-21 00:00:00+00:00,200270287.94
Mint,2025-07-21 00:00:00+00:00,200342332.14000002
Mint,2025-07-28 00:00:00+00:00,627168.86
Burn,2025-08-04 00:00:00+00:00,201650500.0
Mint,2025-08-04 00:00:00+00:00,335289.62999999995
Burn,2025-08-11 00:00:00+00:00,10080552.0
Mint,2025-08-11 00:00:00+00:00,110266313.01
Mint,2025-08-18 00:00:00+00:00,299787.88
Mint,2025-08-25 00:00:00+00:00,400816.99
Mint,2025-09-01 00:00:00+00:00,300457.88
Burn,2025-09-08 00:00:00+00:00,40000100.0
Mint,2025-09-08 00:00:00+00:00,392584.70999999996
Burn,2025-09-15 00:00:00+00:00,150100131.67
Mint,2025-09-15 00:00:00+00:00,2222508.31
Burn,2025-09-22 00:00:00+00:00,1628656.98
Mint,2025-09-22 00:00:00+00:00,40866829.15
Burn,2025-09-29 00:00:00+00:00,30000100.0
